Unnamed: 0,ksig,cdens,knum,type_complex,alph_leak,eps,num_complex,grid_id,save_path,grid_id_old,coef,shift,train_rss,train_mse,train_nmse
0,0.5,8.0,2.0,8,0.2,1e-06,2.6666666666666665,0,,0,,,,,
1,0.6,8.0,2.0,8,0.2,1e-06,2.6666666666666665,1,,1,,,,,
2,0.7,8.0,2.0,8,0.2,1e-06,2.6666666666666665,2,,2,,,,,
3,0.25,8.0,2.0,8,0.2,1e-06,2.6666666666666665,3,,3,,,,,
4,0.75,8.0,2.0,8,0.2,1e-06,2.6666666666666665,4,,4,,,,,
5,0.775,8.0,2.0,8,0.2,1e-06,2.6666666666666665,5,,5,,,,,
6,0.8,8.0,2.0,8,0.2,1e-06,2.6666666666666665,6,,6,0.00242353261407591,0.058768044248513694,6.379766835524235e-05,3.1898834177621175e-06,0.007284331060197474
7,0.825,8.0,2.0,8,0.2,1e-06,2.6666666666666665,7,,7,0.0026106992030331478,0.058775703880974806,6.169216549227516e-05,3.084608274613758e-06,0.007043927605064207
0,0.85,8.0,2.0,8,0.2,1e-06,2.6666666666666665,8,,0,0.0029723338933984817,0.05861857935218047,5.193911249997972e-05,2.5969556249989863e-06,0.005930337270572119
1,0.875,8.0,2.0,8,0.2,1e-06,2.6666666666666665,9,,1,0.003853461733829348,0.056285385882734934,3.971185483936156e-05,1.985592741968078e-06,0.0045342456099439045
2,0.9,8.0,2.0,8,0.2,1e-06,2.6666666666666665,10,,2,0.004647704383165097,0.05514335148563135,3.410318395119892e-05,1.705159197559946e-06,0.003893855191134636
3,0.925,8.0,2.0,8,0.2,1e-06,2.6666666666666665,11,,3,0.006077048996122845,0.05244624837917641,2.3907542644777122e-05,1.1953771322388562e-06,0.002729730724493405
4,0.95,8.0,2.0,8,0.2,1e-06,2.6666666666666665,12,,4,0.008383271400625617,0.04855401594746242,1.5654955709569368e-05,7.827477854784684e-07,0.0017874615649940355
5,0.975,8.0,2.0,8,0.2,1e-06,2.6666666666666665,13,,5,0.012738823615901243,0.04178967487633611,1.377445194689336e-05,6.887225973446681e-07,0.001572748201317423
6,1.0,8.0,2.0,8,0.2,1e-06,2.6666666666666665,14,,6,0.025090531557568813,0.024245993653882886,1.4588436538399096e-05,7.294218269199548e-07,0.0016656878556228322
7,1.025,8.0,2.0,8,0.2,1e-06,2.6666666666666665,15,,7,0.12560162995268637,-0.09566890317754098,6.593533675353975e-05,3.2967668376769875e-06,0.0075284071324359485
0,1.05,8.0,2.0,8,0.2,1e-06,2.6666666666666665,16,,0,0.5407177589877861,-0.44490413136679885,0.000304142383205369,1.520711916026845e-05,0.034726563929719276
1,1.075,8.0,2.0,8,0.2,1e-06,2.6666666666666665,17,,1,1.2144110069274465,-0.7096549218353705,0.0006452569826367158,3.226284913183579e-05,0.07367456525617215
2,1.1,8.0,2.0,8,0.2,1e-06,2.6666666666666665,18,,2,-0.15943987193814174,0.1386867897007224,0.0007604412780455419,3.8022063902277095e-05,0.08682615154960019
3,1.125,8.0,2.0,8,0.2,1e-06,2.6666666666666665,19,,3,-0.5596922858993594,0.20513309854586265,0.0007478780048400576,3.739390024200288e-05,0.08539169409076523
4,1.15,8.0,2.0,8,0.2,1e-06,2.6666666666666665,20,,4,-0.6373093447624566,0.135735407787336,0.0007436252784875561,3.7181263924377804e-05,0.08490612357606317
5,1.175,8.0,2.0,8,0.2,1e-06,2.6666666666666665,21,,5,-0.6562372079510459,0.06481845825880142,0.0007424353870669251,3.7121769353346255e-05,0.0847702633909338
6,1.2,8.0,2.0,8,0.2,1e-06,2.6666666666666665,22,,6,-0.6625308271608699,0.0042192349208572885,0.0007420007135121436,3.710003567560718e-05,0.08472063295524906
7,1.3,8.0,2.0,8,0.2,1e-06,2.6666666666666665,23,,7,-0.6663237968162696,-0.15965050532961678,0.0007416792860185334,3.708396430092667e-05,0.08468393280090693
0,1.4,8.0,2.0,8,0.2,1e-06,2.6666666666666665,24,,0,-0.666019524188101,-0.2524311466092639,0.0007416756947877474,3.7083784739387374e-05,0.08468352275905693
1,1.5,8.0,2.0,8,0.2,1e-06,2.6666666666666665,25,,1,-0.6658458829902496,-0.3090482808201866,0.0007416764967853199,3.7083824839266e-05,0.08468361433004969
