,time_step,stimulus,type,familiarity,novelty,dN,steady
0,0,0,fam,0.043478260869565216,3.1354942159291497,0.0,1.176553986729834
1,1,1,fam,0.03571428571428571,3.332204510175204,0.0,1.176553986729834
2,2,2,fam,0.03030762236702531,3.496356034835385,0.0,1.176553986729834
3,3,0,fam,0.1576939373839756,1.8470992297345326,0.0,1.176553986729834
4,4,1,fam,0.13939963259726196,1.97041041625989,0.0,1.176553986729834
5,5,2,fam,0.12492176761280581,2.080067596708949,0.0,1.176553986729834
6,6,0,fam,0.20718061875286634,1.5741643118093567,0.0,1.176553986729834
7,7,1,fam,0.18939497087882082,1.6639206514928269,0.0,1.176553986729834
8,8,2,fam,0.17443535108384103,1.7462010868795508,0.0,1.176553986729834
9,9,0,fam,0.23481415800963487,1.448960894678958,0.0,1.176553986729834
10,10,1,fam,0.21882601998288637,1.5194782941937086,0.0,1.176553986729834
11,11,2,fam,0.2048893660243471,1.5852851234522924,0.0,1.176553986729834
12,12,0,fam,0.25245181775544434,1.3765348692458397,0.0,1.176553986729834
13,13,1,fam,0.2382162886408173,1.4345762421956305,0.0,1.176553986729834
14,14,2,fam,0.22551255649258134,1.4893794386957082,0.0,1.176553986729834
15,15,0,fam,0.26468655216854886,1.3292089750874452,0.0,1.176553986729834
16,16,1,fam,0.25195526215413716,1.3785037383656074,0.0,1.176553986729834
17,17,2,fam,0.24040353627816735,1.4254363664535374,0.0,1.176553986729834
18,18,0,fam,0.2736711920603507,1.2958279221822224,0.0,1.176553986729834
19,19,1,fam,0.26219926889446254,1.3386504960070638,0.0,1.176553986729834
20,20,2,fam,0.2516605510509,1.379674119156483,0.0,1.176553986729834
21,21,0,fam,0.2805489222895549,1.2710071582127627,0.0,1.176553986729834
22,22,1,fam,0.2701313876213537,1.3088468175254484,0.0,1.176553986729834
23,23,2,fam,0.26046914105656854,1.3452708852411444,0.0,1.176553986729834
24,24,0,fam,0.2859830542460601,1.2518227208055894,0.0,1.176553986729834
25,25,1,fam,0.276454862380874,1.2857077177080045,0.0,1.176553986729834
26,26,2,fam,0.2675497335904699,1.318449809962677,0.0,1.176553986729834
27,27,0,fam,0.29038490650450416,1.236547972228984,0.0,1.176553986729834
28,28,1,fam,0.28161397236093705,1.2672180381701605,0.0,1.176553986729834
29,29,2,fam,0.2733653621029782,1.2969460558312735,0.0,1.176553986729834
30,30,0,fam,0.29402309082901895,1.2240969744928198,0.0,1.176553986729834
31,31,1,fam,0.2859031856752881,1.2521020370951446,0.0,1.176553986729834
32,32,2,fam,0.2782271925089567,1.2793172598088092,0.0,1.176553986729834
33,33,0,fam,0.297080462533821,1.213752259248697,0.0,1.176553986729834
34,34,1,fam,0.2895253954781629,1.2395122639574851,0.0,1.176553986729834
35,35,2,fam,0.2823520674317085,1.264600520659858,0.0,1.176553986729834
36,36,0,fam,0.29968581392608173,1.2050206400271286,0.0,1.176553986729834
37,37,1,fam,0.29262494997846317,1.2288635241118264,0.0,1.176553986729834
38,38,2,fam,0.28589572864527124,1.252128119796005,0.0,1.176553986729834
39,39,0,fam,0.30193247944462603,1.197551864602481,0.0,1.176553986729834
40,40,1,fam,0.29530734811525244,1.2197386069819034,0.0,1.176553986729834
41,41,2,fam,0.28897292170025385,1.241422291798414,0.0,1.176553986729834
42,42,0,fam,0.30388975228324416,1.1910903003148676,0.0,1.176553986729834
43,43,1,fam,0.29765148527869395,1.2118319893777383,0.0,1.176553986729834
44,44,2,fam,0.29167005242375493,1.2321320730499914,0.0,1.176553986729834
45,45,0,fam,0.30561015681153,1.18544498660224,0.0,1.176553986729834
46,46,1,fam,0.29971754173975024,1.2049147753755605,0.0,1.176553986729834
47,47,2,fam,0.2940534272620274,1.2239938027724668,0.0,1.176553986729834
48,48,0,fam,0.30713423172681825,1.1804703900599638,0.0,1.176553986729834
49,49,1,fam,0.30155222134547066,1.1988120726872338,0.0,1.176553986729834
50,50,2,fam,0.29617477638752476,1.2168055381427818,0.0,1.176553986729834
51,51,0,fam,0.308493764345932,1.1760536486580524,0.0,1.176553986729834
52,52,1,fam,0.30319232381999783,1.1933879427507725,0.0,1.176553986729834
53,53,2,fam,0.29807505045007826,1.2104099770369883,0.0,1.176553986729834
54,54,0,fam,0.3097140312106993,1.1721058872149233,0.0,1.176553986729834
55,55,1,fam,0.3046672379501886,1.1885351210878266,0.0,1.176553986729834
56,56,2,fam,0.2997870893411489,1.2046827584799271,0.0,1.176553986729834
57,57,0,fam,0.31081538383454876,1.1685561641764493,0.0,1.176553986729834
58,58,1,fam,0.306000717733696,1.1841678314975528,0.0,1.176553986729834
59,59,2,fam,0.30133753549489084,1.1995242621288964,0.0,1.176553986729834
60,60,0,fam,0.3118143925123504,1.1653471639871156,0.0,1.176553986729834
61,61,1,fam,0.30721217107391663,1.1802166591122079,0.0,1.176553986729834
62,62,2,fam,0.3027482299810845,1.1948537430364323,0.0,1.176553986729834
63,63,0,fam,0.3127246855076324,1.162432074533345,0.0,1.176553986729834
64,64,1,fam,0.30831761027008825,1.1766248251566782,0.0,1.176553986729834
65,65,2,fam,0.3040372474729159,1.1906050604994787,0.0,1.176553986729834
66,66,0,fam_r,0.3135575742437894,1.1597722858702957,0.0,1.176553986729834
67,67,1,fam_r,0.30933036351449705,1.173345435617578,0.0,1.176553986729834
68,68,2,fam_r,0.30521967456577376,1.1867235171483572,0.0,1.176553986729834
69,69,0,fam_r,0.3143225255685827,1.1573356687407255,0.0,1.176553986729834
70,70,1,fam_r,0.3102616146851945,1.170339419062471,0.0,1.176553986729834
71,71,2,fam_r,0.3063082027505621,1.1831634853826216,0.0,1.176553986729834
72,72,0,fam_r,0.3150275230240384,1.155095269293962,0.0,1.176553986729834
73,73,1,fam_r,0.31112081790833823,1.1675739602221256,0.0,1.176553986729834
74,74,2,fam_r,0.3073135855694046,1.1798866013552716,0.0,1.176553986729834
75,75,0,fam_r,0.3156793464089645,1.1530283071326675,0.0,1.176553986729834
76,76,1,fam_r,0.3119160195236183,1.1650212955984458,0.0,1.176553986729834
77,77,2,fam_r,0.30824499491230606,1.1768603741747585,0.0,1.176553986729834
78,78,0,fam_r,0.3162837904103814,1.1511153975007058,0.0,1.176553986729834
79,79,1,fam_r,0.3126541107163324,1.1626577770740314,0.0,1.176553986729834
80,80,2,fam_r,0.3091103014945033,1.174057103015059,0.0,1.176553986729834
0,0,0,fam,0.043478260869565216,3.1354942159291497,73.33333333333334,1.7717575622346222
1,1,1,fam,0.03571428571428571,3.332204510175204,73.33333333333334,1.7717575622346222
2,2,2,fam,0.03030762236702531,3.496356034835385,73.33333333333334,1.7717575622346222
3,3,0,fam,0.1576939373839756,1.8470992297345326,73.33333333333334,1.7717575622346222
4,4,1,fam,0.13939963259726196,1.97041041625989,73.33333333333334,1.7717575622346222
5,5,2,fam,0.12492176761280581,2.080067596708949,73.33333333333334,1.7717575622346222
6,6,0,fam,0.20718061875286634,1.5741643118093567,73.33333333333334,1.7717575622346222
7,7,1,fam,0.18939497087882082,1.6639206514928269,73.33333333333334,1.7717575622346222
8,8,2,fam,0.17443535108384103,1.7462010868795508,73.33333333333334,1.7717575622346222
9,9,0,fam,0.23481415800963487,1.448960894678958,73.33333333333334,1.7717575622346222
10,10,1,fam,0.21882601998288637,1.5194782941937086,73.33333333333334,1.7717575622346222
11,11,2,fam,0.2048893660243471,1.5852851234522924,73.33333333333334,1.7717575622346222
12,12,0,fam,0.25245181775544434,1.3765348692458397,73.33333333333334,1.7717575622346222
13,13,1,fam,0.2382162886408173,1.4345762421956305,73.33333333333334,1.7717575622346222
14,14,2,fam,0.22551255649258134,1.4893794386957082,73.33333333333334,1.7717575622346222
15,15,0,fam,0.26468655216854886,1.3292089750874452,73.33333333333334,1.7717575622346222
16,16,1,fam,0.25195526215413716,1.3785037383656074,73.33333333333334,1.7717575622346222
17,17,2,fam,0.24040353627816735,1.4254363664535374,73.33333333333334,1.7717575622346222
18,18,0,fam,0.2736711920603507,1.2958279221822224,73.33333333333334,1.7717575622346222
19,19,1,fam,0.26219926889446254,1.3386504960070638,73.33333333333334,1.7717575622346222
20,20,2,fam,0.2516605510509,1.379674119156483,73.33333333333334,1.7717575622346222
21,21,0,fam,0.2805489222895549,1.2710071582127627,73.33333333333334,1.7717575622346222
22,22,1,fam,0.2701313876213537,1.3088468175254484,73.33333333333334,1.7717575622346222
23,23,2,fam,0.26046914105656854,1.3452708852411444,73.33333333333334,1.7717575622346222
24,24,0,fam,0.2859830542460601,1.2518227208055894,73.33333333333334,1.7717575622346222
25,25,1,fam,0.276454862380874,1.2857077177080045,73.33333333333334,1.7717575622346222
26,26,2,fam,0.2675497335904699,1.318449809962677,73.33333333333334,1.7717575622346222
27,27,0,fam,0.29038490650450416,1.236547972228984,73.33333333333334,1.7717575622346222
28,28,1,fam,0.28161397236093705,1.2672180381701605,73.33333333333334,1.7717575622346222
29,29,2,fam,0.2733653621029782,1.2969460558312735,73.33333333333334,1.7717575622346222
30,30,0,fam,0.29402309082901895,1.2240969744928198,73.33333333333334,1.7717575622346222
31,31,1,fam,0.2859031856752881,1.2521020370951446,73.33333333333334,1.7717575622346222
32,32,2,fam,0.2782271925089567,1.2793172598088092,73.33333333333334,1.7717575622346222
33,33,0,fam,0.297080462533821,1.213752259248697,73.33333333333334,1.7717575622346222
34,34,1,fam,0.2895253954781629,1.2395122639574851,73.33333333333334,1.7717575622346222
35,35,2,fam,0.2823520674317085,1.264600520659858,73.33333333333334,1.7717575622346222
36,36,0,fam,0.29968581392608173,1.2050206400271286,73.33333333333334,1.7717575622346222
37,37,1,fam,0.29262494997846317,1.2288635241118264,73.33333333333334,1.7717575622346222
38,38,2,fam,0.28589572864527124,1.252128119796005,73.33333333333334,1.7717575622346222
39,39,0,fam,0.30193247944462603,1.197551864602481,73.33333333333334,1.7717575622346222
40,40,1,fam,0.29530734811525244,1.2197386069819034,73.33333333333334,1.7717575622346222
41,41,2,fam,0.28897292170025385,1.241422291798414,73.33333333333334,1.7717575622346222
42,42,0,fam,0.30388975228324416,1.1910903003148676,73.33333333333334,1.7717575622346222
43,43,1,fam,0.29765148527869395,1.2118319893777383,73.33333333333334,1.7717575622346222
44,44,2,fam,0.29167005242375493,1.2321320730499914,73.33333333333334,1.7717575622346222
45,45,0,fam,0.30561015681153,1.18544498660224,73.33333333333334,1.7717575622346222
46,46,1,fam,0.29971754173975024,1.2049147753755605,73.33333333333334,1.7717575622346222
47,47,2,fam,0.2940534272620274,1.2239938027724668,73.33333333333334,1.7717575622346222
48,48,0,fam,0.30713423172681825,1.1804703900599638,73.33333333333334,1.7717575622346222
49,49,1,fam,0.30155222134547066,1.1988120726872338,73.33333333333334,1.7717575622346222
50,50,2,fam,0.29617477638752476,1.2168055381427818,73.33333333333334,1.7717575622346222
51,51,0,fam,0.308493764345932,1.1760536486580524,73.33333333333334,1.7717575622346222
52,52,1,fam,0.30319232381999783,1.1933879427507725,73.33333333333334,1.7717575622346222
