resampling_id,shift,coef
0,0.07197284405920489,0.00025287354095158884
1,0.07197573081978534,0.0002521797413526547
2,0.07198391558680688,0.00025021262703216386
3,0.07199754296386676,0.0002469374441837568
4,0.07200922077083378,0.00024413081801387778
5,0.07197097187223911,0.0002533234994881873
6,0.07198466619181557,0.0002500322277784206
7,0.07199075757766793,0.00024856823346925593
8,0.07200235870754365,0.0002457800357535843
9,0.07198943358068965,0.00024888644086714707
10,0.07193662688946363,0.0002615779198375557
11,0.07177835223499751,0.00029961740691919974
12,0.07198564057204869,0.000249798046731585
13,0.07198145659532941,0.00025080361726258503
14,0.0719678486411435,0.000254074132047371
15,0.07193551139042373,0.00026184601716158865
16,0.07067066458060679,0.0002534020797997221
17,0.07338375345825893,0.00025329794067667245
18,0.07121628399375693,0.00025330810876643753
19,0.07261284049421173,0.0002533608319193569
